link,title,extracted_at_date,price,id
https://es.wallapop.com/item/bicicleta-electrica-montana-1142555993,Bicicleta eléctrica montaña,2025-06-16 10:20:54,550.0,bicicleta-electrica-montana-1142555993
https://es.wallapop.com/item/bicicleta-scott-aspect-960-xl-1142554483,Bicicleta Scott Aspect 960 XL,2025-06-16 10:20:54,666.0,bicicleta-scott-aspect-960-xl-1142554483
https://es.wallapop.com/item/bicicleta-orbea-alma-1142552107,Bicicleta Orbea Alma,2025-06-16 10:20:54,250.0,bicicleta-orbea-alma-1142552107
https://es.wallapop.com/item/bicicleta-orbea-alma-h50-1142535843,Bicicleta Orbea Alma H50,2025-06-16 10:20:54,750.0,bicicleta-orbea-alma-h50-1142535843
https://es.wallapop.com/item/bicicleta-specialized-rockhopper-1142531365,Bicicleta Specialized Rockhopper,2025-06-16 10:20:54,215.0,bicicleta-specialized-rockhopper-1142531365
https://es.wallapop.com/item/orbea-27-5-mtb-bicicleta-1142525798,Orbea 27.5 MTB Bicicleta,2025-06-16 10:20:54,250.0,orbea-27-5-mtb-bicicleta-1142525798
https://es.wallapop.com/item/bicicleta-montana-doble-suspension-rock-shox-1142521085,"Bicicleta montaña doble suspensión, Rock Shox",2025-06-16 10:20:54,250.0,bicicleta-montana-doble-suspension-rock-shox-1142521085
https://es.wallapop.com/item/bicicleta-electrica-fat-bike-1142519837,Bicicleta eléctrica Fat Bike,2025-06-16 10:20:54,750.0,bicicleta-electrica-fat-bike-1142519837
https://es.wallapop.com/item/bicicleta-cube-24-roja-1142514104,"Bicicleta Cube 24"" roja",2025-06-16 10:20:54,225.0,bicicleta-cube-24-roja-1142514104
https://es.wallapop.com/item/bicicleta-lapierre-29-mtb-1142507932,"Bicicleta Lapierre 29"" MTB",2025-06-16 10:20:54,350.0,bicicleta-lapierre-29-mtb-1142507932
https://es.wallapop.com/item/bicicleta-montana-wolfbike-1142503646,Bicicleta montaña Wolfbike,2025-06-16 10:20:54,200.0,bicicleta-montana-wolfbike-1142503646
https://es.wallapop.com/item/bicicleta-de-montana-scot-aspect-950-1142499364,Bicicleta de montaña Scot Aspect 950 + Casco ,2025-06-16 10:20:54,450.0,bicicleta-de-montana-scot-aspect-950-1142499364
